                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.62662,                0.47161,                0.38542,                0.92149,                0.97488,                0.99117,                0.99387,                0.88303,                0.95431,                 0.9691,                0.96615,                0.55857,                0.51694,                0.25086,                0.28211,                0.90025,             0.00092206,             0.00092206,             0.00092206
                     56,                0.63214,                0.46394,                0.38796,                0.91962,                0.96524,                0.98323,                0.98908,                0.87682,                0.94847,                0.96626,                0.96479,                0.58719,                0.52651,                0.25185,                0.29066,                0.90405,             0.00091588,             0.00091588,             0.00091588
                     57,                 0.6334,                0.45967,                0.37966,                 0.9201,                0.97717,                0.98171,                0.98607,                0.87946,                0.96705,                0.97191,                0.97382,                0.58288,                0.49018,                0.24288,                 0.2757,                0.89156,             0.00090969,             0.00090969,             0.00090969
                     58,                0.62043,                0.45851,                0.38161,                0.91737,                0.97775,                0.98544,                0.99311,                0.88899,                0.96157,                0.96948,                0.97597,                0.56606,                0.49667,                0.24285,                0.27676,                0.89837,              0.0009035,              0.0009035,              0.0009035
                     59,                0.61973,                0.45841,                0.38271,                0.91559,                0.98251,                0.98461,                0.99407,                0.88704,                0.96908,                 0.9704,                 0.9763,                0.60386,                0.50067,                0.23866,                0.27931,                0.89391,             0.00089731,             0.00089731,             0.00089731
                     60,                0.62492,                0.46884,                0.38512,                0.92049,                0.97022,                0.99646,                0.99409,                0.88972,                0.98082,                0.97353,                0.99119,                0.58352,                0.49355,                0.24519,                0.26958,                0.89396,             0.00089112,             0.00089112,             0.00089112
                     61,                0.63166,                0.47551,                0.39284,                0.92403,                0.98009,                0.99241,                0.99372,                0.89136,                0.97452,                0.98517,                0.98836,                0.59557,                0.47397,                0.24255,                0.28189,                0.88888,             0.00088494,             0.00088494,             0.00088494
                     62,                0.61861,                 0.4601,                0.38079,                0.91477,                0.98144,                0.99465,                0.99355,                0.89456,                0.97735,                0.99041,                0.99146,                0.60327,                0.47038,                0.23531,                0.26537,                0.88721,             0.00087875,             0.00087875,             0.00087875
                     63,                0.61347,                0.45742,                0.37233,                0.91357,                0.97807,                0.99616,                0.99397,                0.89515,                0.97427,                0.99238,                 0.9923,                 0.6095,                0.48526,                0.23585,                0.27001,                0.88929,             0.00087256,             0.00087256,             0.00087256
                     64,                0.61454,                0.44847,                0.37645,                0.91574,                0.98904,                0.99008,                0.99427,                0.90463,                0.98095,                0.98181,                 0.9856,                0.59905,                0.48087,                0.24092,                0.26599,                0.88822,             0.00086637,             0.00086637,             0.00086637
                     65,                0.61484,                0.48268,                0.38123,                0.91231,                0.98165,                0.99314,                0.99433,                0.90443,                0.96734,                0.97886,                0.97464,                0.59456,                0.46612,                0.23926,                0.25803,                 0.8844,             0.00086019,             0.00086019,             0.00086019
                     66,                0.60419,                0.45826,                0.37166,                0.91194,                0.99052,                0.99528,                 0.9945,                0.89864,                0.98699,                0.99174,                0.99182,                0.60755,                0.46178,                0.23725,                0.25505,                0.88209,               0.000854,               0.000854,               0.000854
                     67,                0.58964,                 0.4531,                0.36089,                0.90676,                0.97135,                0.99017,                0.98897,                0.88449,                0.96817,                0.97367,                0.97824,                0.59596,                0.49262,                0.23937,                0.26151,                0.89586,             0.00084781,             0.00084781,             0.00084781
                     68,                0.61079,                0.45312,                0.36918,                0.91433,                0.98722,                0.99082,                0.99453,                0.90017,                0.98349,                0.98687,                0.99368,                0.61621,                0.47702,                0.23859,                 0.2671,                0.88655,             0.00084162,             0.00084162,             0.00084162
                     69,                0.59905,                0.44539,                0.36459,                0.91046,                0.98042,                0.99374,                0.99407,                0.90687,                  0.977,                0.98973,                0.99119,                0.62145,                0.44938,                0.23352,                0.25048,                0.88095,             0.00083544,             0.00083544,             0.00083544
                     70,                0.60177,                 0.4555,                0.36769,                0.91014,                0.98571,                0.98014,                0.99372,                0.90001,                 0.9809,                0.97528,                0.99267,                0.61281,                0.45535,                0.23757,                0.25249,                0.88003,             0.00082925,             0.00082925,             0.00082925
                     71,                0.58897,                0.44087,                0.35733,                0.90325,                0.98684,                0.99073,                0.99375,                0.90602,                0.98307,                0.98667,                0.99025,                0.62604,                0.45397,                0.23242,                0.24254,                0.88003,             0.00082306,             0.00082306,             0.00082306
                     72,                0.58918,                0.45447,                0.35992,                0.90618,                0.98387,                0.99646,                0.99398,                0.89822,                0.97925,                0.99181,                0.99036,                0.62289,                 0.4629,                0.23216,                0.24921,                0.87894,             0.00081688,             0.00081688,             0.00081688
                     73,                0.58615,                0.44697,                0.35126,                0.90677,                0.97212,                0.99559,                0.99396,                0.89631,                0.96883,                0.99218,                0.99218,                0.61315,                 0.4601,                0.23312,                0.25005,                0.88478,             0.00081069,             0.00081069,             0.00081069
